agno,fecha_bbdd,codigo_bbdd,grado,rbd,dvrbd,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_reg_rbd_2014,nom_reg_rbd_2014,cod_pro_rbd_2014,nom_pro_rbd_2014,cod_com_rbd_2014,nom_com_rbd_2014,nom_deprov_rbd_2014,cod_depe1,cod_depe2,cod_grupo,cod_rural_rbd,nalu_lect2m_rbd,nalu_mate2m_rbd,nalu_nat2m_rbd,prom_lect2m_rbd,prom_mate2m_rbd,prom_nat2m_rbd,dif_lect2m_rbd,dif_mate2m_rbd,difgru_lect2m_rbd,difgru_mate2m_rbd,difgru_nat2m_rbd,sigdif_lect2m_rbd,sigdif_mate2m_rbd,siggru_lect2m_rbd,siggru_mate2m_rbd,siggru_nat2m_rbd,marca_lect2m_rbd,marca_mate2m_rbd,marca_nat2m_rbd,marcadif_lect2m_rbd,marcadif_mate2m_rbd,palu_eda_ins_lect2m_rbd,palu_eda_ele_lect2m_rbd,palu_eda_ade_lect2m_rbd,palu_eda_ins_mate2m_rbd,palu_eda_ele_mate2m_rbd,palu_eda_ade_mate2m_rbd,marca_eda_lect2m_rbd,marca_eda_mate2m_rbd,noaplica
2014,20151009,final20151009v1,2m,56,6,COLEGIO SAN MARCOS DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,76,75,75,287,324,302,8,4,9,16,22,No significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,,,,,,22.4,28.9,48.7,5.3,41.3,53.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,59,0,COLEGIO SAN JORGE,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular pagado,Particular pagado,Alto,Urbano,27,28,28,310,312,291,14,0,20,-22,-13,No significativa,No significativa,Positiva y significativa,Negativa y significativa,Negativa y significativa,,,,,,14.8,18.5,66.7,14.3,32.1,53.6,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,60,4,COLEGIO ALEMAN DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio,Urbano,49,48,48,238,252,242,-24,-22,-26,-29,-17,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,67.3,20.4,12.2,39.6,52.1,8.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,67,1,ABRAHAM LINCOLN SCHOOL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,22,23,23,286,284,289,6,8,8,-24,9,No significativa,No significativa,No significativa,Negativa y significativa,No significativa,,,,,,13.6,45.5,40.9,17.4,60.9,21.7,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,69,8,JUNIOR COLLEGE,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular pagado,Particular pagado,Alto,Urbano,43,42,43,288,344,322,-15,7,-2,10,18,Negativa y significativa,No significativa,No significativa,Positiva y significativa,Positiva y significativa,,,,,,23.3,30.2,46.5,0,16.7,83.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,72,8,LICEO  VALLE DE CODPA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,Municipal DAEM,Municipal,Bajo,Rural,5,5,5,239,212,203,,,,,,,,,,,,,,Alumnos insuficientes,Alumnos insuficientes,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: No reporte,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,78,7,LICEO GRANADEROS,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,Municipal DAEM,Municipal,Bajo,Rural,12,13,13,216,215,215,-18,-22,-7,-2,-5,No significativa,No significativa,No significativa,No significativa,No significativa,,,,,,75,25,0,84.6,7.7,7.7,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio bajo,Urbano,52,56,56,240,216,220,21,0,0,-27,-13,Positiva y significativa,No significativa,No significativa,Negativa y significativa,Negativa y significativa,,,,,,67.3,19.2,13.5,71.4,28.6,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio bajo,Urbano,3,6,6,292,213,231,,0,,-30,-2,,No significativa,,No significativa,No significativa,,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Alumnos insuficientes,Ajenas a la Agencia: No reporte,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: No reporte,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Administración delegada,Particular subvencionado,Medio bajo,Urbano,76,77,77,220,230,218,16,-3,-20,-13,-15,Positiva y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,75,21.1,3.9,63.6,33.8,2.6,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio bajo,Urbano,59,75,77,218,208,214,-26,-46,-22,-35,-19,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,78,16.9,5.1,80,20,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio bajo,Urbano,68,58,64,191,186,209,4,-5,-49,-57,-24,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,92.6,5.9,1.5,89.7,10.3,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,109,0,LICEO ELENA DUVAUCHELLE CABEZON,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Bajo,Urbano,16,21,21,219,183,206,17,-14,-4,-34,-14,No significativa,No significativa,No significativa,Negativa y significativa,No significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,81.3,18.8,0,100,0,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio,Urbano,30,32,32,263,266,246,-27,-26,-1,-15,-13,Negativa y significativa,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Alumnos insuficientes,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,40,30,30,43.8,34.4,21.9,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Corporación Municipal,Municipal,Medio,Urbano,31,30,30,216,208,220,-47,-35,-48,-73,-39,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,71,29,0,73.3,26.7,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,127,9,LICEO MARIA AUXILIADORA,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,59,59,59,284,315,273,-15,7,6,7,-7,Negativa y significativa,No significativa,Positiva y significativa,Positiva y significativa,Negativa y significativa,,,,,,16.9,47.5,35.6,3.4,52.5,44.1,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,129,5,LICEO SUPERIOR GABRIELA MISTRAL,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio bajo,Urbano,11,14,14,254,206,230,26,-7,14,-37,-3,Positiva y significativa,No significativa,Positiva y significativa,Negativa y significativa,No significativa,Ajenas a la Agencia: Resultados no representativos,,,Ajenas a la Agencia: No reporte,,45.5,27.3,27.3,85.7,14.3,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,130,9,COLEGIO NORTH COLLEGE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,27,27,27,256,289,261,-29,-19,-22,-19,-19,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,44.4,37,18.5,14.8,63,22.2,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,131,7,LICEO PARTICULAR MIXTO ESCASCE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio,Urbano,23,19,20,225,202,227,-26,-28,-39,-79,-32,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,65.2,21.7,13,73.7,21.1,5.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,132,5,LICEO ACADEMIA IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,158,162,163,293,348,320,-9,8,15,40,40,Negativa y significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,,,,,,13.3,35.4,51.3,.6,14.8,84.6,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,133,3,COLEGIO ADVENTISTA DE IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio,Urbano,48,50,48,273,266,246,19,25,9,-15,-13,Positiva y significativa,Positiva y significativa,Positiva y significativa,Negativa y significativa,Negativa y significativa,,,,,,29.2,27.1,43.8,42,42,16,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,134,1,LICEO ATENEA,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio,Urbano,26,27,27,201,206,224,-22,-20,-63,-75,-35,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,88.5,11.5,0,74.1,25.9,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,144,9,COLEGIO IQUIQUE YOUNG SCHOOL,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,1,REGIÓN DE TARAPACÁ,1,IQUIQUE,1101,IQUIQUE,IQUIQUE,Particular subvencionado,Particular subvencionado,Medio,Urbano,14,17,17,229,198,207,-14,-36,-35,-83,-52,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,64.3,35.7,0,88.2,11.8,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,161,9,LICEO DE HUARA,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1404,HUARA,TAMARUGAL,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1404,HUARA,TAMARUGAL,Municipal DAEM,Municipal,Bajo,Rural,9,10,9,204,210,209,-8,10,-19,-7,-11,No significativa,No significativa,No significativa,No significativa,No significativa,,,,,,,,,100,0,0,Ajenas al Establecimiento: No reporte,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,178,3,LICEO TECNICO PROFESIONAL COLCHANE,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1403,COLCHANE,TAMARUGAL,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1403,COLCHANE,TAMARUGAL,Municipal DAEM,Municipal,Bajo,Rural,12,11,11,200,194,192,,,-23,-23,-28,,,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,Alumnos insuficientes,Alumnos insuficientes,91.7,8.3,0,100,0,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,191,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1401,POZO ALMONTE,TAMARUGAL,1,REGIÓN DE TARAPACÁ,4,TAMARUGAL,1401,POZO ALMONTE,TAMARUGAL,Corporación Municipal,Municipal,Medio bajo,Rural,119,121,121,216,207,211,-13,-7,-24,-36,-22,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,81.5,14.3,4.2,82.6,16.5,.8,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,208,9,COLEGIO SAGRADA FAMILIA,2,REGIÓN DE ANTOFAGASTA,3,TOCOPILLA,2301,TOCOPILLA,ANTOFAGASTA,2,REGIÓN DE ANTOFAGASTA,3,TOCOPILLA,2301,TOCOPILLA,ANTOFAGASTA,Particular subvencionado,Particular subvencionado,Medio,Urbano,97,92,93,280,284,256,16,28,16,3,-3,Positiva y significativa,Positiva y significativa,Positiva y significativa,No significativa,No significativa,,,,,,22.7,38.1,39.2,27.2,46.7,26.1,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,211,9,LICEO  H.C. T.P.  MARIA ELENA,2,REGIÓN DE ANTOFAGASTA,3,TOCOPILLA,2302,MARÍA ELENA,ANTOFAGASTA,2,REGIÓN DE ANTOFAGASTA,3,TOCOPILLA,2302,MARÍA ELENA,ANTOFAGASTA,Municipal DAEM,Municipal,Medio bajo,Urbano,68,68,68,232,211,215,-25,-40,-8,-32,-18,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,63.2,27.9,8.8,79.4,20.6,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,217,8,LICEO LUIS CRUZ MARTINEZ,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Corporación Municipal,Municipal,Medio,Urbano,229,222,222,287,313,267,-10,-21,23,32,8,Negativa y significativa,Negativa y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,,,,,,16.6,41,42.4,4.1,52.7,43.2,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,218,6,LICEO FRANCISCO DE AGUIRRE,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Corporación Municipal,Municipal,Medio bajo,Urbano,179,177,180,226,201,216,9,-15,-14,-42,-17,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,69.8,25.1,5,86.4,12.4,1.1,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,219,4,LICEO POLITECNICO CESAREO AGUIRRE G.,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Corporación Municipal,Municipal,Medio bajo,Urbano,188,190,190,235,232,227,6,4,-5,-11,-6,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,62.8,28.2,9,64.7,30.5,4.7,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,220,8,LICEO MINERO AMÉRICA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Corporación Municipal,Municipal,Medio,Urbano,220,234,231,251,259,235,-34,-11,-13,-22,-24,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,45.5,39.5,15,42.7,46.2,11.1,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,253,4,COLEGIO ADVENTISTA DE CALAMA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Particular subvencionado,Particular subvencionado,Medio,Urbano,52,52,54,250,255,247,-23,-9,-14,-26,-12,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,,,,,,50,32.7,17.3,46.2,38.5,15.4,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,254,2,FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,2,REGIÓN DE ANTOFAGASTA,2,EL LOA,2201,CALAMA,EL LOA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,62,64,64,284,301,263,-13,-11,6,-7,-17,Negativa y significativa,Negativa y significativa,Positiva y significativa,Negativa y significativa,Negativa y significativa,,,,,,12.9,48.4,38.7,9.4,56.3,34.4,,,Rbd y curso rinde Simce
