agno,fecha_bbdd,codigo_bbdd,grado,rbd,dvrbd,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_reg_rbd_2014,nom_reg_rbd_2014,cod_pro_rbd_2014,nom_pro_rbd_2014,cod_com_rbd_2014,nom_com_rbd_2014,nom_deprov_rbd_2014,cod_depe1,cod_depe2,cod_grupo,cod_rural_rbd,nalu_lect4b_rbd,nalu_mate4b_rbd,nalu_soc4b_rbd,prom_lect4b_rbd,prom_mate4b_rbd,prom_soc4b_rbd,dif_lect4b_rbd,dif_mate4b_rbd,dif_soc4b_rbd,difgru_lect4b_rbd,difgru_mate4b_rbd,difgru_soc4b_rbd,sigdif_lect4b_rbd,sigdif_mate4b_rbd,sigdif_soc4b_rbd,siggru_lect4b_rbd,siggru_mate4b_rbd,siggru_soc4b_rbd,palu_eda_ins_lect4b_rbd,palu_eda_ele_lect4b_rbd,palu_eda_ade_lect4b_rbd,palu_eda_ins_mate4b_rbd,palu_eda_ele_mate4b_rbd,palu_eda_ade_mate4b_rbd,palu_eda_ins_soc4b_rbd,palu_eda_ele_soc4b_rbd,palu_eda_ade_soc4b_rbd,marca_lect4b_rbd,marca_mate4b_rbd,marca_soc4b_rbd,marcadif_lect4b_rbd,marcadif_mate4b_rbd,marcadif_soc4b_rbd,marca_eda_lect4b_rbd,marca_eda_mate4b_rbd,marca_eda_soc4b_rbd,noaplica
2014,20151009,final20151009v1,4b,18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,48,42,41,240,228,229,3,4,4,-11,-15,-12,No significativa,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,45.8,39.6,14.6,64.3,28.6,7.1,56.1,41.5,2.4,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,19,1,ESC. HUMBERTO VALENZUELA GARCIA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,25,24,24,260,255,241,33,39,39,15,21,7,Positiva y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,No significativa,40,32,28,33.3,41.7,25,54.2,25,20.8,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,20,5,ESCUELA TUCAPEL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,35,36,36,272,251,250,15,-9,12,21,8,9,Positiva y significativa,No significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,22.9,28.6,48.6,44.4,38.9,16.7,44.4,47.2,8.3,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,21,3,ESCUELA CARLOS GUIRAO MASSIF,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,12,9,10,206,203,207,-5,5,-39,-45,-40,-34,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,75,25,0,,,,80,20,0,,,,,,,,Ajenas al Establecimiento: Resultados no representativos,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,22,1,ESCUELA GABRIELA MISTRAL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,91,92,89,240,236,236,-15,-4,14,-11,-7,-5,Negativa y significativa,No significativa,Positiva y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,50.5,35.2,14.3,60.9,35.9,3.3,51.7,40.4,7.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,25,6,ESCUELA CENTENARIO,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,39,42,36,242,216,214,-31,-32,-35,-9,-27,-27,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,56.4,20.5,23.1,76.2,23.8,0,75,25,0,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,26,4,ESCUELA REPUBLICA DE ARGENTINA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,19,20,20,278,273,252,27,25,8,27,30,11,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,31.6,10.5,57.9,25,50,25,40,55,5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,27,2,ESCUELA ESMERALDA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,18,18,18,268,240,226,42,27,-5,17,-3,-15,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,No significativa,Negativa y significativa,22.2,50,27.8,61.1,27.8,11.1,66.7,27.8,5.6,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,28,0,ESCUELA RICARDO SILVA ARRIAGADA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,22,22,22,265,283,245,-16,-3,-64,0,26,-11,No significativa,No significativa,Negativa y significativa,No significativa,Positiva y significativa,Negativa y significativa,18.2,50,31.8,13.6,54.5,31.8,54.5,27.3,18.2,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,29,9,ESCUELA AMERICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,42,42,42,245,255,235,-9,25,-13,-6,12,-6,No significativa,Positiva y significativa,No significativa,No significativa,Positiva y significativa,No significativa,50,28.6,21.4,42.9,33.3,23.8,54.8,31,14.3,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,31,0,ESCUELA DARIO SALAS DIAZ,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,40,40,40,261,281,247,-7,2,4,16,47,13,No significativa,No significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,30,42.5,27.5,15,52.5,32.5,47.5,37.5,15,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,50,49,49,236,229,222,-17,-42,1,-9,-5,-12,Negativa y significativa,Negativa y significativa,No significativa,Negativa y significativa,No significativa,Negativa y significativa,52,28,20,63.3,26.5,10.2,69.4,20.4,10.2,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,33,7,ESCUELA CARLOS CONDELL DE LA HAZA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,12,11,11,258,267,241,-14,-1,21,13,33,7,No significativa,No significativa,No significativa,No significativa,Positiva y significativa,No significativa,41.7,25,33.3,36.4,36.4,27.3,54.5,27.3,18.2,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,35,3,ESCUELA GRAL. MANUEL BAQUEDANO,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Rural,10,10,10,243,245,236,,,11,-8,2,-5,,,No significativa,No significativa,No significativa,No significativa,50,30,20,50,40,10,40,50,10,,,,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,36,1,ESCUELA IGNACIO CARRERA PINTO,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,21,19,19,252,252,233,13,11,-17,7,18,-1,No significativa,No significativa,No significativa,No significativa,Positiva y significativa,No significativa,38.1,33.3,28.6,47.4,36.8,15.8,57.9,36.8,5.3,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,38,8,ESCUELA ESPAÑA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,33,34,34,248,257,225,7,-8,-35,3,23,-9,No significativa,No significativa,Negativa y significativa,No significativa,Positiva y significativa,Negativa y significativa,36.4,51.5,12.1,32.4,55.9,11.8,64.7,32.4,2.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,39,6,ESCUELA PAMPA ALGODONAL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,4,5,0,199,177,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,41,8,ESCUELA VALLE DE CHACA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Rural,3,3,0,306,246,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,42,6,ESCUELA MOLINOS LLUTA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Rural,2,2,0,280,263,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,45,0,COLEGIO ITALIANO SANTA ANA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,75,79,80,290,258,257,42,31,0,9,-16,-15,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,Negativa y significativa,Negativa y significativa,12,29.3,58.7,35.4,46.8,17.7,30,52.5,17.5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,50,7,COLEGIO ADVENTISTA DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio,Urbano,39,40,40,277,297,273,3,27,7,12,40,17,No significativa,Positiva y significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,25.6,33.3,41,2.5,47.5,50,17.5,55,27.5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,51,5,ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Bajo,Rural,2,2,0,265,297,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,52,3,LICEO DOMINGO SANTA MARIA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio,Urbano,190,187,186,291,294,289,-1,-9,-24,26,37,33,No significativa,Negativa y significativa,Negativa y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,11.1,26.8,62.1,8.6,41.2,50.3,10.8,40.3,48.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,56,6,COLEGIO SAN MARCOS DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,59,61,61,277,258,271,-32,-37,-15,-4,-16,-1,Negativa y significativa,Negativa y significativa,Negativa y significativa,No significativa,Negativa y significativa,No significativa,23.7,28.8,47.5,29.5,49.2,21.3,21.3,47.5,31.1,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,59,0,COLEGIO SAN JORGE,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular pagado,Particular pagado,Alto,Urbano,37,36,36,300,286,280,9,-11,-7,2,-10,-12,No significativa,No significativa,No significativa,No significativa,Negativa y significativa,Negativa y significativa,13.5,13.5,73,11.1,50,38.9,22.2,41.7,36.1,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,60,4,COLEGIO ALEMAN DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,53,52,52,279,262,258,12,2,-19,-2,-12,-14,Positiva y significativa,No significativa,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,28.3,18.9,52.8,26.9,48.1,25,30.8,42.3,26.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,67,1,ABRAHAM LINCOLN SCHOOL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,50,51,51,287,281,279,-1,-4,-17,6,7,7,No significativa,No significativa,Negativa y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,12,42,46,17.6,45.1,37.3,15.7,43.1,41.2,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,69,8,JUNIOR COLLEGE,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular pagado,Particular pagado,Alto,Urbano,37,38,37,303,298,282,1,0,-15,5,2,-10,No significativa,No significativa,Negativa y significativa,No significativa,No significativa,Negativa y significativa,10.8,18.9,70.3,10.5,36.8,52.6,13.5,40.5,45.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,72,8,LICEO  VALLE DE CODPA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,Municipal DAEM,Municipal,Bajo,Rural,3,3,0,172,173,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Alumnos insuficientes,Alumnos insuficientes,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,74,4,ESCUELA VALLE DE CAMARONES,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15102,CAMARONES,ARICA,Municipal DAEM,Municipal,,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,,,Ajenas al Establecimiento: No reporte,,,,Cursos con 100% ausentes y sin cuestionarios
2014,20151009,final20151009v1,4b,78,7,LICEO GRANADEROS,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,Municipal DAEM,Municipal,Medio bajo,Rural,11,12,12,251,260,244,15,25,25,0,17,3,No significativa,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,No significativa,45.5,36.4,18.2,33.3,50,16.7,58.3,41.7,0,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,79,5,ESCUELA EL MARQUEZ,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,Municipal DAEM,Municipal,Medio bajo,Rural,3,3,0,257,270,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,81,7,ESCUELA PAYACHATAS,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,Municipal DAEM,Municipal,Bajo,Rural,2,2,0,229,196,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,Ajenas al Establecimiento: No reporte,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Ajenas al Establecimiento: Resultados no representativos,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,82,5,ESCUELA SAN FRANCISCO DE ASIS,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,15,REGIÓN ARICA - PARINACOTA,2,PARINACOTA,15201,PUTRE,PARINACOTA,Municipal DAEM,Municipal,,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajenas al Establecimiento: No reporte,,,Ajenas al Establecimiento: No reporte,,,,Cursos con 100% ausentes y sin cuestionarios
